CDM project reference number,Completion Date,Status,Total,HostParty,Issuance process ID,tots
1363,2022-02-03,Cancelled,23917,IN,COMBINEDCANCELLED-1363,23916
1364,2020-10-09,Cancelled,386871,ZA,COMBINEDCANCELLED-1364,4001553
1366,2022-01-14,Cancelled,350668,CN,COMBINEDCANCELLED-1366,350667
1374,2023-04-28,Cancelled,39222,CL,COMBINEDCANCELLED-1374,39221
1390,2013-10-14,Cancelled,137,CN,COMBINEDCANCELLED-1390,136
1410,2021-12-20,Cancelled,188699,BR,COMBINEDCANCELLED-1410,37402617
1411,2018-11-22,Cancelled,25233,CO,COMBINEDCANCELLED-1411,25232
1413,2021-12-29,Cancelled,134926,TH,COMBINEDCANCELLED-1413,1141212
1428,2019-09-13,Cancelled,327116,CO,COMBINEDCANCELLED-1428,12902983
1443,2015-11-12,Cancelled,150744,KR,COMBINEDCANCELLED-1443,161730
1456,2021-10-01,Cancelled,70697,IN,COMBINEDCANCELLED-1456,121337404
1477,2022-01-27,Cancelled,21072,CN,COMBINEDCANCELLED-1477,21071
1483,2020-04-20,Cancelled,217512,HN,COMBINEDCANCELLED-1483,1132254
1514,2016-05-23,Cancelled,244,IN,COMBINEDCANCELLED-1514,9838
1526,2022-01-06,Cancelled,52911,BR,COMBINEDCANCELLED-1526,52910
1541,2023-08-28,Cancelled,11401,IN,COMBINEDCANCELLED-1541,11400
1549,2016-03-22,Cancelled,54178,IN,COMBINEDCANCELLED-1549,34052280
1558,2022-11-22,Cancelled,94192,TH,COMBINEDCANCELLED-1558,5382445
1566,2022-01-31,Cancelled,9798,IN,COMBINEDCANCELLED-1566,9797
1568,2022-12-16,Cancelled,50000,IN,COMBINEDCANCELLED-1568,56793353
1570,2023-07-20,Cancelled,135925,AR,COMBINEDCANCELLED-1570,137638
1575,2023-01-26,Cancelled,61816,IN,COMBINEDCANCELLED-1575,79395744
1577,2023-07-27,Cancelled,252147,CN,COMBINEDCANCELLED-1577,254437
1578,2020-11-16,Cancelled,1901,UG,COMBINEDCANCELLED-1578,9203851
1620,2017-04-20,Cancelled,402558,PH,COMBINEDCANCELLED-1620,1206680
1632,2022-11-04,Cancelled,35030,IN,COMBINEDCANCELLED-1632,35029
1642,2022-04-06,Cancelled,295671,IN,COMBINEDCANCELLED-1642,46052841
1657,2023-06-29,Cancelled,177225,CN,COMBINEDCANCELLED-1657,177224
1658,2023-06-29,Cancelled,163562,CN,COMBINEDCANCELLED-1658,163561
1667,2023-08-30,Cancelled,71756,IN,COMBINEDCANCELLED-1667,146415317
1687,2022-08-10,Cancelled,91787,IN,COMBINEDCANCELLED-1687,91786
1713,2018-01-12,Cancelled,717,PK,COMBINEDCANCELLED-1713,3493698
1719,2019-10-02,Cancelled,81293,IN,COMBINEDCANCELLED-1719,9531396
1753,2017-06-08,Cancelled,9880,IN,COMBINEDCANCELLED-1753,9879
1770,2018-01-24,Cancelled,19918,CO,COMBINEDCANCELLED-1770,19917
1787,2021-12-13,Cancelled,240743,CL,COMBINEDCANCELLED-1787,4347505
1797,2020-12-08,Cancelled,51920,IN,COMBINEDCANCELLED-1797,101997568
1800,2020-08-27,Cancelled,22279,BR,COMBINEDCANCELLED-1800,22278
1836,2019-10-04,Cancelled,81091,PE,COMBINEDCANCELLED-1836,1968988
1855,2015-11-23,Cancelled,20915,CN,COMBINEDCANCELLED-1855,20914
1861,2017-04-19,Cancelled,10753,IN,COMBINEDCANCELLED-1861,10752
1880,2023-08-29,Cancelled,154475,CN,COMBINEDCANCELLED-1880,154474
1883,2013-04-03,Cancelled,1859,KR,COMBINEDCANCELLED-1883,24468318
1891,2018-03-27,Cancelled,6938,CN,COMBINEDCANCELLED-1891,147390272
1896,2013-12-12,Cancelled,102767,CN,COMBINEDCANCELLED-1896,35851197
1904,2023-08-27,Cancelled,176055,IN,COMBINEDCANCELLED-1904,116911454
1906,2021-12-22,Cancelled,163406,CN,COMBINEDCANCELLED-1906,163405
1948,2020-12-17,Cancelled,294875,MD,COMBINEDCANCELLED-1948,3140111
1966,2021-04-13,Cancelled,21040,CN,COMBINEDCANCELLED-1966,21039
1984,2023-06-29,Cancelled,62130,CN,COMBINEDCANCELLED-1984,62129
1987,2023-03-07,Cancelled,36474,CN,COMBINEDCANCELLED-1987,36473
1993,2019-02-28,Cancelled,198538,TH,COMBINEDCANCELLED-1993,5189685
1994,2023-08-31,Cancelled,133207,CN,COMBINEDCANCELLED-1994,168157
2023,2022-01-28,Cancelled,137167,IN,COMBINEDCANCELLED-2023,137166
2025,2022-01-28,Cancelled,55377,IN,COMBINEDCANCELLED-2025,55376
2092,2020-02-03,Cancelled,75000,IN,COMBINEDCANCELLED-2092,74999
2105,2023-01-23,Cancelled,463040,CN,COMBINEDCANCELLED-2105,155493333
2112,2017-06-09,Cancelled,61719,IN,COMBINEDCANCELLED-2112,61718
2120,2012-11-28,Cancelled,2500,CN,COMBINEDCANCELLED-2120,2499
2138,2020-12-16,Cancelled,5419,TH,COMBINEDCANCELLED-2138,5418
2142,2013-03-26,Cancelled,37208,CN,COMBINEDCANCELLED-2142,37207
2148,2019-10-17,Cancelled,64712,TH,COMBINEDCANCELLED-2148,5639073
2165,2018-11-28,Cancelled,43323,BR,COMBINEDCANCELLED-2165,43322
2170,2021-04-13,Cancelled,19697,CN,COMBINEDCANCELLED-2170,17968025
2199,2022-03-23,Cancelled,221615,CN,COMBINEDCANCELLED-2199,221614
2215,2023-08-24,Cancelled,45467,CN,COMBINEDCANCELLED-2215,45466
2221,2018-03-27,Cancelled,6097,CN,COMBINEDCANCELLED-2221,205039281
2225,2019-08-21,Cancelled,17830,KR,COMBINEDCANCELLED-2225,17829
2247,2021-07-29,Cancelled,27613,IN,COMBINEDCANCELLED-2247,27612
2302,2021-12-02,Cancelled,59591,KR,COMBINEDCANCELLED-2302,108126775
2307,2019-11-01,Cancelled,11261,CN,COMBINEDCANCELLED-2307,11260
2311,2019-11-01,Cancelled,11438,CN,COMBINEDCANCELLED-2311,11437
2341,2020-12-10,Cancelled,13998,CO,COMBINEDCANCELLED-2341,13997
2342,2021-05-24,Cancelled,77110,IN,COMBINEDCANCELLED-2342,128724262
2344,2019-02-04,Cancelled,100567,CN,COMBINEDCANCELLED-2344,100566
2347,2022-12-14,Cancelled,43150,IN,COMBINEDCANCELLED-2347,43149
2366,2018-10-23,Cancelled,25384,KR,COMBINEDCANCELLED-2366,71662580
2392,2023-08-30,Cancelled,3898,CN,COMBINEDCANCELLED-2392,3897
2406,2023-03-02,Cancelled,363300,CN,COMBINEDCANCELLED-2406,597781328
2417,2013-02-07,Cancelled,350,CL,COMBINEDCANCELLED-2417,349
2441,2023-01-16,Cancelled,45617,CN,COMBINEDCANCELLED-2441,45616
2467,2020-09-18,Cancelled,19500,MY,COMBINEDCANCELLED-2467,19499
2470,2023-08-18,Cancelled,26892,IN,COMBINEDCANCELLED-2470,39201
2475,2020-05-08,Cancelled,124224,KR,COMBINEDCANCELLED-2475,58226153
2483,2022-03-16,Cancelled,797564,CN,COMBINEDCANCELLED-2483,547169319
2486,2023-08-24,Cancelled,83592,BR,COMBINEDCANCELLED-2486,101214339
2513,2022-03-16,Cancelled,151725,CN,COMBINEDCANCELLED-2513,379346008
2535,2021-09-28,Cancelled,219509,MX,COMBINEDCANCELLED-2535,219508
2543,2023-08-20,Cancelled,1,IN,COMBINEDCANCELLED-2543,0
2554,2018-04-26,Cancelled,752194,CO,COMBINEDCANCELLED-2554,985582
2569,2023-08-07,Cancelled,1776038,BR,COMBINEDCANCELLED-2569,92072408
2600,2020-03-11,Cancelled,85409,CO,COMBINEDCANCELLED-2600,8584551
2630,2023-06-19,Cancelled,55160,CO,COMBINEDCANCELLED-2630,64120
2648,2017-03-22,Cancelled,6711,IN,COMBINEDCANCELLED-2648,5656999
2683,2018-11-06,Cancelled,16700,KR,COMBINEDCANCELLED-2683,86936457
2684,2018-11-06,Cancelled,16165,KR,COMBINEDCANCELLED-2684,96415447
2688,2022-04-14,Cancelled,25700,CN,COMBINEDCANCELLED-2688,25699
2692,2022-02-07,Cancelled,267380,ZA,COMBINEDCANCELLED-2692,6171267
2698,2019-02-21,Cancelled,100131,IN,COMBINEDCANCELLED-2698,100130
2708,2022-12-05,Cancelled,20000,IN,COMBINEDCANCELLED-2708,19999
2712,2020-03-12,Cancelled,60524,ET,COMBINEDCANCELLED-2712,551570
2714,2020-11-16,Cancelled,33929,AL,COMBINEDCANCELLED-2714,502997
2736,2018-08-31,Cancelled,37238,IN,COMBINEDCANCELLED-2736,37237
2742,2022-10-20,Cancelled,370143,EG,COMBINEDCANCELLED-2742,972832
2746,2020-08-04,Cancelled,6381,BT,COMBINEDCANCELLED-2746,6380
2765,2022-11-11,Cancelled,64744,BD,COMBINEDCANCELLED-2765,17253294
2792,2023-07-25,Cancelled,328737,IN,COMBINEDCANCELLED-2792,29288934
2793,2022-07-13,Cancelled,80908,BR,COMBINEDCANCELLED-2793,139198
2801,2023-08-31,Cancelled,266955,IN,COMBINEDCANCELLED-2801,86186005
2819,2018-11-20,Cancelled,26723,IN,COMBINEDCANCELLED-2819,26722
2834,2020-12-30,Cancelled,224550,KR,COMBINEDCANCELLED-2834,34642843
2842,2021-11-18,Cancelled,75253,CN,COMBINEDCANCELLED-2842,75252
2848,2012-11-23,Cancelled,37799,CN,COMBINEDCANCELLED-2848,37798
2856,2017-03-22,Cancelled,240105,IN,COMBINEDCANCELLED-2856,47853954
2898,2023-01-10,Cancelled,253046,CN,COMBINEDCANCELLED-2898,40022681
2899,2023-07-18,Cancelled,31306,CN,COMBINEDCANCELLED-2899,31305
2910,2017-11-13,Cancelled,4878,KR,COMBINEDCANCELLED-2910,4877
2936,2023-08-31,Cancelled,135840,IN,COMBINEDCANCELLED-2936,137454
2953,2023-07-04,Cancelled,182231,CN,COMBINEDCANCELLED-2953,243986347
2954,2021-12-10,Cancelled,144519,CN,COMBINEDCANCELLED-2954,241997035
2956,2017-08-03,Cancelled,322,UG,COMBINEDCANCELLED-2956,321
2965,2022-01-28,Cancelled,15052,IN,COMBINEDCANCELLED-2965,15051
2993,2021-11-19,Cancelled,50664,CN,COMBINEDCANCELLED-2993,50663
3008,2015-06-24,Cancelled,158211,CN,COMBINEDCANCELLED-3008,40309424
3009,2023-02-08,Cancelled,21059,KR,COMBINEDCANCELLED-3009,90494344
3022,2023-01-27,Cancelled,37232,IN,COMBINEDCANCELLED-3022,39320
3044,2022-01-28,Cancelled,57242,CN,COMBINEDCANCELLED-3044,57241
3056,2022-02-28,Cancelled,159147,CN,COMBINEDCANCELLED-3056,159678351
3057,2022-01-28,Cancelled,62041,CN,COMBINEDCANCELLED-3057,62040
3060,2023-02-07,Cancelled,43324,CN,COMBINEDCANCELLED-3060,43323
3061,2022-02-17,Cancelled,60462,CN,COMBINEDCANCELLED-3061,60461
3064,2022-02-14,Cancelled,122253,CN,COMBINEDCANCELLED-3064,122252
3065,2022-02-14,Cancelled,224195,CN,COMBINEDCANCELLED-3065,44039747
3066,2022-02-14,Cancelled,131683,CN,COMBINEDCANCELLED-3066,200860327
3068,2021-12-28,Cancelled,135912,CN,COMBINEDCANCELLED-3068,135911
3069,2022-01-17,Cancelled,57272,CN,COMBINEDCANCELLED-3069,57271
3071,2022-03-15,Cancelled,136967,CN,COMBINEDCANCELLED-3071,149275338
3072,2022-03-15,Cancelled,282045,CN,COMBINEDCANCELLED-3072,44359915
3089,2021-12-20,Cancelled,264271,CN,COMBINEDCANCELLED-3089,292790150
3110,2020-04-02,Cancelled,6312,KR,COMBINEDCANCELLED-3110,6311
3111,2017-02-09,Cancelled,87937,CN,COMBINEDCANCELLED-3111,87936
3127,2018-07-26,Cancelled,7974,MX,COMBINEDCANCELLED-3127,8249
3142,2022-12-21,Cancelled,67673,IN,COMBINEDCANCELLED-3142,74381447
3152,2017-03-28,Cancelled,4193,KR,COMBINEDCANCELLED-3152,4192
