HostParty,CDM project reference number,Issuance process ID,Issuance date,Monitoring report started,Monitoring report ended
CN,5693,CCSC_DOE1657286539.13,1/12/22,2012-05-15,2012-12-31
CN,6133,CCSC_DOE1657724336.53,1/12/22,2012-08-05,2012-12-31
CN,6255,CCSC_DOE1658305744.34,1/12/22,2012-05-23,2012-12-31
CN,6724,CTI1655358526.53,1/12/22,2013-01-01,2019-08-30
KR,3009,Korean Standards Association1658880958.74,1/12/22,2013-01-01,2020-02-29
KR,3009,Korean Standards Association1658880958.74,1/12/22,2011-01-06,2012-12-31
BR,6208,RINA1645547074.11,1/12/22,2014-01-01,2019-07-24
LK,9824,RWTUV1462947718.63,1/12/22,2014-01-28,2016-03-31
IN,9416,poaiss516945233~IN,28/11/22,2013-01-03,2019-09-30
IN,9416,poaiss328853777~IN,25/11/22,2019-01-10,2020-12-31
IN,3238,Applus1624268245.47,25/11/22,2017-07-17,2020-12-31
CN,2513,Applus1652785543.24,25/11/22,2013-01-03,2019-07-27
IN,7951,KBS_Cert1640080518.81,25/11/22,2013-10-31,2020-12-31
IN,5239,Applus1629985351.07,24/11/22,2013-01-01,2020-12-31
IN,5239,Applus1629985351.07,24/11/22,2012-09-12,2012-12-31
CN,1872,Applus1639131086.07,24/11/22,2016-02-26,2016-09-03
CN,1872,Applus1639131125.73,24/11/22,2016-10-03,2020-12-31
IN,3578,Applus1646933694.52,24/11/22,2010-08-09,2012-12-31
IN,3578,Applus1646933694.52,24/11/22,2013-01-01,2017-07-09
VN,7400,CarbonCheck_Cert1652940943.08,24/11/22,2013-01-09,2020-08-31
CN,7834,sergeyf731650363867.4,24/11/22,2016-01-10,2017-06-30
IN,6522,Applus1645104022.57,21/11/22,2015-01-07,2020-12-31
IN,5863,ESPL1645524932.56,21/11/22,2015-06-25,2020-12-31
BR,6411,ICONTEC1610568339.9,21/11/22,2019-06-18,2020-12-31
FJ,10497,poaiss4296515~FJ,18/11/22,2020-01-08,2020-12-31
IN,9755,Applus1637857814.05,17/11/22,2015-01-11,2020-12-31
CN,9173,Applus1646935905.12,17/11/22,2013-03-01,2020-02-01
IN,267,Applus1650996010.27,17/11/22,2011-01-07,2012-12-31
IN,267,Applus1650996010.27,17/11/22,2013-01-01,2013-06-15
CN,6009,CCSC_DOE1656468452.9,17/11/22,2012-01-05,2012-12-31
CN,5862,CCSC_DOE1656469564.2,17/11/22,2012-01-06,2012-12-31
CN,3606,CTI1644905145.47,17/11/22,2013-12-24,2017-10-09
CL,8914,CarbonCheck_Cert1594976511.28,17/11/22,2013-01-05,2019-12-31
IN,7611,ESPL1646812736.16,17/11/22,2013-10-24,2020-08-31
ID,5368,TUEV-SUED1650606634.66,17/11/22,2020-01-05,2020-12-31
IN,776,Applus1537355481.96,11/11/22,2013-01-01,2017-10-02
IN,7939,BVQI1646995329.58,11/11/22,2013-01-12,2020-11-30
IN,8833,Applus1642187396.16,10/11/22,2013-12-20,2020-12-19
IN,7778,Applus1643049284.49,10/11/22,2012-10-23,2012-12-31
IN,7778,Applus1643049284.49,10/11/22,2013-01-01,2019-10-22
IN,6909,Applus1648040640.07,10/11/22,2012-09-14,2012-12-31
IN,6909,Applus1648040640.07,10/11/22,2013-01-01,2019-09-13
IN,7842,BVQI1644231521.54,10/11/22,2013-01-01,2020-12-31
CN,4900,CTI1652858808.55,10/11/22,2016-01-09,2018-11-08
BR,5495,RINA1654098536.77,10/11/22,2017-01-01,2020-12-31
BR,1134,EPIC_Sust1617293652.83,9/11/22,2013-01-08,2015-11-02
BR,9064,ESPL1649222769.17,9/11/22,2013-01-09,2020-08-31
BR,52,EPIC_Sust1555602184.73,7/11/22,2011-01-01,2012-12-31
BR,52,EPIC_Sust1555602295.46,7/11/22,2013-01-01,2015-07-14
