HostParty,CDM project reference number,Issuance process ID,Issuance date,Monitoring report started,Monitoring report ended
CO,194,DNV-CUK1244004573.53,18/11/10,2008-01-01,2008-12-31
BR,116,ERM-CVS1275379816.81,18/11/10,2010-04-21,2010-05-26
BR,1342,RWTUV1232104873.22,18/11/10,2008-02-05,2008-10-10
IN,1550,SGS-UKL1268224064.22,18/11/10,2009-01-01,2009-12-31
IN,1542,SGS-UKL1268393368.54,18/11/10,2009-01-01,2009-12-31
CN,869,SGS-UKL1270828449.36,18/11/10,2009-02-23,2010-02-22
CN,1416,SGS-UKL1275575532.48,18/11/10,2009-11-27,2010-05-27
CN,2087,BVQI1268642641.55,12/11/10,2009-02-20,2009-12-31
CN,829,BVQI1269606179.13,12/11/10,2009-01-01,2009-12-31
CN,2065,RWTUV1258452605.51,12/11/10,2009-04-20,2009-10-19
IN,115,SGS-UKL1249904700.07,12/11/10,2009-01-04,2009-06-30
CN,2206,BVQI1271817780.82,11/11/10,2009-09-26,2010-02-25
IN,123,DNV-CUK1261483916.83,11/11/10,2008-01-12,2009-11-30
CN,2034,JQA1272253993.41,11/11/10,2009-03-02,2010-03-25
KR,584,Korean Standards Association1271727567.41,11/11/10,2009-01-01,2009-12-31
CN,1994,BVQI1271067567.8,10/11/10,2008-08-11,2010-02-20
KR,99,ERM-CVS1275035345.64,10/11/10,2010-04-19,2010-05-23
CN,1960,SGS-UKL1272548805.77,10/11/10,2009-03-19,2010-04-19
CN,1962,SGS-UKL1273227948.24,10/11/10,2009-03-21,2010-04-19
MX,464,DNV-CUK1252439305.59,9/11/10,2008-01-09,2009-07-31
IN,849,DNV-CUK1260548929.6,9/11/10,2008-01-04,2009-03-31
BR,411,DNV-CUK1263250324.93,9/11/10,2009-01-06,2009-11-30
CN,1992,DNV-CUK1273496934.55,5/11/10,2009-01-26,2010-04-30
MX,162,DNV-CUK1264748837.87,4/11/10,2009-01-08,2009-12-31
MX,225,DNV-CUK1267777430.61,4/11/10,2009-01-06,2010-01-31
CN,2396,DNV-CUK1272436153.67,4/11/10,2009-11-20,2010-04-26
CN,2175,RWTUV1272292397.74,4/11/10,2009-09-03,2010-04-24
CN,1985,SGS-UKL1248774656.83,4/11/10,2009-12-02,2009-06-30
CN,1915,BVQI1272496956.65,3/11/10,2009-01-09,2009-12-31
IN,2266,DNV-CUK1262703784.76,3/11/10,2009-07-04,2009-11-24
IN,535,SGS-UKL1240911485.77,3/11/10,2008-01-04,2009-03-31
CN,1865,SGS-UKL1271761137.31,3/11/10,2009-01-07,2010-03-31
CN,574,RWTUV1264059441.93,2/11/10,2009-01-01,2009-06-30
CN,1900,SGS-UKL1246615127.19,2/11/10,2009-06-03,2009-06-26
KR,765,DNV-CUK1263303234.88,29/10/10,2009-01-10,2009-12-31
IL,147,SGS-UKL1252426278.83,29/10/10,2008-01-08,2009-07-31
MX,105,DNV-CUK1258354722.93,28/10/10,2009-01-04,2009-10-31
IN,118,DNV-CUK1265104315.44,28/10/10,2009-01-01,2009-12-31
CN,1319,DNV-CUK1267631318.66,28/10/10,2009-03-25,2010-02-25
IN,35,RWTUV1237209017.66,28/10/10,2008-01-01,2008-12-31
BR,888,DNV-CUK1269520790.48,27/10/10,2009-01-09,2010-02-28
CN,2541,JQA1266389646.35,27/10/10,2009-07-25,2010-01-27
IN,1009,RWTUV1249546549.72,27/10/10,2008-01-06,2009-05-31
CN,2344,RWTUV1268140060.97,27/10/10,2009-08-25,2010-02-28
CN,1343,TUEV-SUED1250602571.94,27/10/10,2008-03-26,2008-12-31
IN,117,DNV-CUK1265103857.72,22/10/10,2009-01-01,2009-12-31
EC,1255,RWTUV1252913476.87,22/10/10,2008-05-13,2009-08-31
CN,1103,BVQI1269940707.95,21/10/10,2008-12-26,2009-12-25
BR,472,DNV-CUK1257886576.39,20/10/10,2009-01-06,2009-09-30
CN,2383,DNV-CUK1270646597.38,20/10/10,2009-09-11,2010-03-31
CN,1730,SGS-UKL1247654340.94,20/10/10,2008-08-28,2009-06-30
CN,1238,SGS-UKL1270631869.1,20/10/10,2009-01-09,2009-11-30
PE,1249,TUEV-SUED1233670750.1,20/10/10,2008-01-01,2008-12-31
IN,792,DNV-CUK1257132174.58,19/10/10,2008-03-18,2009-08-13
CN,1664,China Quality1259042717.14,15/10/10,2009-03-16,2009-11-15
MX,880,DNV-CUK1224103525.09,15/10/10,2007-12-03,2008-08-31
BR,335,DNV-CUK1257776863.25,15/10/10,2009-01-03,2009-09-30
IN,805,DNV-CUK1268832414.1,15/10/10,2007-10-05,2009-01-04
CN,1590,RWTUV1263203980.3,15/10/10,2009-01-09,2009-12-31
PH,963,SGS-UKL1245142482.94,15/10/10,2008-08-09,2009-03-31
CN,1915,BVQI1259468537.29,14/10/10,2009-12-05,2009-08-31
CN,2030,BVQI1268360744.75,14/10/10,2009-09-29,2010-02-25
CN,2397,BVQI1270028744.73,14/10/10,2009-07-21,2009-11-24
CN,2458,CEC1270692484.43,14/10/10,2009-07-07,2010-03-31
AR,426,DNV-CUK1269520982.25,14/10/10,2009-01-09,2010-02-28
KR,99,ERM-CVS1269940690.35,14/10/10,2010-02-19,2010-03-21
CO,2794,Germanischer1266228660.27,14/10/10,2009-03-11,2010-01-31
CN,1849,RWTUV1265042522.42,14/10/10,2009-02-28,2009-12-25
CN,1929,ERM-CVS1252902372.82,13/10/10,2009-06-03,2009-08-29
BR,116,ERM-CVS1272298698.03,13/10/10,2010-03-22,2010-04-20
CN,894,SGS-UKL1271167643.22,13/10/10,2009-06-28,2010-03-27
CN,1244,SGS-UKL1271422688.54,13/10/10,2009-02-25,2010-02-24
CN,2151,BVQI1254211191.42,8/10/10,2009-09-02,2009-09-23
CN,1261,BVQI1257489666.46,8/10/10,2008-01-10,2009-09-30
IN,850,DNV-CUK1257937179.75,8/10/10,2008-01-11,2009-10-31
CN,1489,DNV-CUK1268605195.37,8/10/10,2009-06-19,2010-10-03
CN,1982,DNV-CUK1268605798.82,8/10/10,2009-05-01,2010-10-03
CN,1478,JACO1256604532.28,8/10/10,2008-10-29,2009-09-28
CN,1662,SGS-UKL1269598321.59,8/10/10,2009-07-25,2009-10-31
CN,1822,SGS-UKL1270566322.02,8/10/10,2009-01-07,2010-03-31
CN,1672,BVQI1262832409.79,7/10/10,2009-02-13,2009-12-31
HN,154,DNV-CUK1234931682.43,7/10/10,2006-01-08,2009-01-31
KR,99,ERM-CVS1271938629.48,7/10/10,2010-03-22,2010-04-18
CN,2191,SGS-UKL1267434095.36,7/10/10,2009-03-03,2010-01-31
CN,1734,SGS-UKL1271155894.77,7/10/10,2009-06-28,2010-03-27
IN,1520,TUEV-RHEIN1263546265.9,7/10/10,2009-01-01,2009-12-31
CN,1609,DNV-CUK1268045083.58,6/10/10,2009-01-09,2010-02-28
CN,238,DNV-CUK1270548115.07,6/10/10,2009-03-25,2010-03-24
CN,599,SGS-UKL1260791319.38,6/10/10,2008-11-25,2009-11-24
CN,2105,TUEV-RHEIN1257837530.8,6/10/10,2009-01-26,2009-09-25
MX,1453,TUEV-SUED1245242963.68,5/10/10,2008-01-12,2009-05-31
CN,2075,DNV-CUK1267112255.52,1/10/10,2009-04-21,2009-12-24
CN,2205,LRQA Ltd1268301159.41,1/10/10,2009-09-09,2010-01-31
CN,483,SGS-UKL1237980799.85,1/10/10,2008-01-25,2008-12-24
MX,240,DNV-CUK1263250070.08,30/9/10,2009-01-05,2009-11-30
LK,84,DNV-CUK1265285117.1,29/9/10,2007-01-06,2009-12-31
CN,1874,SGS-UKL1267009812.02,29/9/10,2009-03-16,2009-11-30
CN,1674,BVQI1262832914.84,28/9/10,2009-02-13,2009-12-31
CN,1344,BVQI1267768186.72,27/9/10,2009-01-01,2009-12-31
CN,561,SGS-UKL1263308025.79,27/9/10,2008-01-12,2009-11-30
CN,2133,BVQI1267768432.88,24/9/10,2009-01-09,2010-02-28
CN,2213,JQA1256804936.43,24/9/10,2009-02-25,2009-08-21
CN,1129,SGS-UKL1263899995.38,24/9/10,2008-12-25,2009-12-24
CN,819,SGS-UKL1250159634.71,23/9/10,2008-01-08,2009-07-31
CN,1823,SGS-UKL1265016160.73,23/9/10,2008-10-10,2009-12-31
CN,1668,BVQI1259309279.74,22/9/10,2009-01-15,2009-10-28
CN,1090,BVQI1269595931.39,22/9/10,2009-01-20,2010-03-25
IN,362,DNV-CUK1265103117.58,22/9/10,2008-09-25,2009-09-24
CN,1238,SGS-UKL1267090110.23,22/9/10,2009-03-14,2009-08-31
CN,1281,BVQI1246612693.25,16/9/10,2007-08-11,2008-10-28
CN,1455,DNV-CUK1261494480.53,16/9/10,2009-12-04,2009-02-11
IN,333,TUEV-RHEIN1260929969.82,16/9/10,2008-01-12,2009-11-30
IN,987,DNV-CUK1261498141.2,15/9/10,2008-01-11,2009-10-31
CN,2194,SGS-UKL1262682971.28,15/9/10,2009-05-03,2009-08-31
CN,994,SGS-UKL1263307297.72,15/9/10,2008-01-12,2009-11-30
CN,576,SGS-UKL1263308512.51,15/9/10,2008-01-12,2009-11-30
CN,1340,RWTUV1259834639.67,14/9/10,2008-01-02,2009-08-31
CN,1814,RWTUV1268133944.18,13/9/10,2009-04-23,2010-02-22
CN,1553,SGS-UKL1236593622.41,13/9/10,2008-03-21,2008-10-25
CN,1102,SGS-UKL1263208727.88,13/9/10,2008-11-27,2009-11-20
CN,1262,RWTUV1268134472.83,9/9/10,2009-01-09,2010-02-28
BR,1011,ERM-CVS1266837434.4,8/9/10,2009-12-05,2010-03-01
CN,1193,SGS-UKL1236592846.88,8/9/10,2007-09-30,2008-10-31
CN,2010,SGS-UKL1249636338.15,8/9/10,2009-02-23,2009-07-31
CN,1777,BVQI1267591936.32,7/9/10,2008-10-30,2010-01-25
CN,1926,TUEV-SUED1247227192.53,7/9/10,2009-09-01,2009-06-30
CN,1673,BVQI1262832654.57,3/9/10,2009-02-13,2009-12-31
CN,589,SGS-UKL1230552788.03,3/9/10,2007-12-26,2008-09-30
CN,536,SGS-UKL1237368765.18,3/9/10,2007-08-29,2009-02-24
CN,1759,BVQI1259768928.11,2/9/10,2008-12-24,2009-11-30
CN,2081,BVQI1267102571.52,2/9/10,2009-03-03,2010-02-22
CN,2017,RWTUV1261417163.54,2/9/10,2009-01-23,2009-11-27
CN,771,BVQI1262756947.84,1/9/10,2009-01-01,2009-12-25
IL,1174,DNV-CUK1244979303.97,1/9/10,2008-05-25,2009-02-04
CN,833,SGS-UKL1264074262.28,1/9/10,2009-01-01,2009-12-31
CN,1304,BVQI1265182215.88,30/8/10,2009-01-01,2009-11-30
CN,1510,SGS-UKL1248950244.85,30/8/10,2008-04-29,2009-07-25
CN,1451,SGS-UKL1263210711.11,27/8/10,2008-12-25,2009-12-24
CN,2155,TECO1258589217.63,27/8/10,2009-07-27,2009-10-25
CN,2103,SGS-UKL1248341673.95,26/8/10,2009-02-20,2009-06-30
CN,905,BVQI1263881376.88,25/8/10,2008-01-11,2009-10-31
CN,1135,TUEV-SUED1249296256.01,23/8/10,2008-03-25,2009-05-24
BR,489,BVQI1262991811.84,20/8/10,2009-01-01,2009-12-31
IN,768,DNV-CUK1251185547.52,20/8/10,2008-03-24,2009-03-23
CN,1081,SGS-UKL1246023785.81,20/8/10,2008-01-04,2009-03-31
BR,519,BVQI1262713890.15,19/8/10,2009-01-01,2009-12-31
BR,543,BVQI1262714052.58,19/8/10,2009-01-01,2009-12-31
BR,477,BVQI1262714208.59,19/8/10,2009-01-01,2009-12-31
CN,1536,TUEV-SUED1261407364.54,19/8/10,2008-01-08,2009-07-31
CN,2169,DNV-CUK1263290626.4,18/8/10,2009-12-01,2009-12-31
CN,1019,SGS-UKL1227527118.74,18/8/10,2007-12-31,2008-10-26
MY,558,TUEV-SUED1224264881.71,18/8/10,2007-01-01,2008-08-31
CN,1980,CEC1260346182.07,13/8/10,2009-03-24,2009-10-31
CN,1607,RWTUV1257430184.44,13/8/10,2008-10-24,2009-10-31
IN,1181,SGS-UKL1237220353.88,13/8/10,2008-01-02,2008-12-31
CN,897,SGS-UKL1262600491.89,13/8/10,2008-12-25,2009-12-24
CN,366,DNV-CUK1263570599.11,12/8/10,2009-01-01,2009-12-31
CN,1083,SGS-UKL1247664852.27,12/8/10,2008-12-16,2009-06-30
CN,907,SGS-UKL1249039532.02,12/8/10,2008-01-06,2009-06-30
BR,773,BVQI1262969582.12,11/8/10,2009-01-01,2009-12-31
CN,1246,TUEV-SUED1238424779.01,11/8/10,2007-10-11,2009-02-28
BR,116,TUEV-SUED1266503633.98,11/8/10,2010-01-15,2010-02-15
KR,99,TUEV-SUED1266925354.68,11/8/10,2010-01-25,2010-02-18
CN,1138,BVQI1241226684.69,6/8/10,2007-07-16,2009-03-31
MX,257,DNV-CUK1252439431.26,6/8/10,2008-01-08,2009-07-31
IN,696,DNV-CUK1263383838.64,6/8/10,2008-01-12,2009-05-31
MX,196,DNV-CUK1252042293.43,4/8/10,2008-01-08,2009-07-31
MX,162,DNV-CUK1253351658.56,4/8/10,2009-01-03,2009-07-31
MX,514,DNV-CUK1216072687.09,30/7/10,2006-10-17,2008-05-31
MX,651,DNV-CUK1222769857.8,30/7/10,2006-01-12,2008-07-31
IN,1824,DNV-CUK1251698360.52,30/7/10,2009-01-15,2009-07-31
IN,1001,DNV-CUK1254287135.07,30/7/10,2008-03-24,2009-03-22
CN,1083,SGS-UKL1229527901.54,30/7/10,2008-01-07,2008-12-15
CN,1128,BVQI1263461707.88,29/7/10,2009-01-21,2009-12-27
IN,722,DNV-CUK1260783929.36,29/7/10,2008-07-23,2009-07-23
CN,883,SGS-UKL1261498663.48,29/7/10,2009-01-01,2009-11-30
MA,42,DNV-CUK1242638360.41,15/7/10,2006-01-10,2009-03-31
CN,1676,DNV-CUK1246514980.89,15/7/10,2009-02-13,2009-06-15
CO,1411,ICONTEC1250525191.79,15/7/10,2008-01-27,2009-08-31
FJ,89,TUEV-SUED1198152880.72,29/6/10,2006-01-11,2007-10-31
IN,872,RWTUV1245745858.13,25/6/10,2008-01-04,2009-03-31
PE,86,DNV-CUK1244003000.57,21/6/10,2007-01-04,2009-03-31
IN,971,DNV-CUK1260195269.03,21/6/10,2008-01-09,2009-08-31
CN,1988,CEC1258704011.61,16/6/10,2009-03-24,2009-10-25
HN,51,DNV-CUK1221293366.24,16/6/10,2006-01-12,2008-08-31
CN,1689,SGS-UKL1251297725.18,16/6/10,2008-08-12,2009-07-06
CN,1446,SGS-UKL1262966273.53,16/6/10,2009-01-01,2009-12-31
IN,1575,TUEV-SUED1238428933.23,16/6/10,2008-05-23,2008-11-30
CN,1323,BVQI1241226813.01,14/6/10,2007-10-12,2009-03-31
IN,717,DNV-CUK1236250679.3,14/6/10,2008-01-01,2009-02-28
MX,53,DNV-CUK1246987377.75,14/6/10,2007-01-10,2009-05-31
CN,2082,DNV-CUK1259562730.18,14/6/10,2009-03-15,2009-11-21
CN,877,SGS-UKL1261393562.28,14/6/10,2008-01-10,2009-10-31
IN,312,TUEV-SUED1238588609.51,14/6/10,2007-01-05,2008-09-30
PE,1902,TUEV-SUED1245240849.61,14/6/10,2008-10-11,2009-04-30
IN,800,DNV-CUK1257131927.61,11/6/10,2008-03-15,2008-12-31
IN,298,DNV-CUK1243486075.72,10/6/10,2008-01-08,2009-04-30
MX,150,DNV-CUK1244842634.38,10/6/10,2008-01-04,2009-04-30
MX,204,DNV-CUK1246607297.89,10/6/10,2008-01-04,2009-05-31
MX,428,DNV-CUK1246607761.35,10/6/10,2008-01-04,2009-05-31
IN,1856,DNV-CUK1251699014.12,10/6/10,2009-01-15,2009-07-24
CL,1435,Germanischer1255506930.64,10/6/10,2008-01-10,2009-09-30
CN,1450,TUEV-SUED1245069213.1,10/6/10,2008-01-04,2009-03-31
IN,281,TUEV-SUED1255003212.86,10/6/10,2008-08-15,2009-09-21
IN,806,DNV-CUK1236758965.04,3/6/10,2007-01-01,2008-12-31
PK,557,DNV-CUK1253269355.37,3/6/10,2009-01-06,2009-08-31
MX,324,DNV-CUK1246607511.86,2/6/10,2008-01-04,2009-05-31
IN,914,DNV-CUK1257138974.67,2/6/10,2008-01-07,2009-06-30
IN,794,DNV-CUK1257937326.42,2/6/10,2008-01-11,2009-10-31
IN,1236,RINA1255545446.72,2/6/10,2008-09-21,2009-09-20
IN,1116,SGS-UKL1244538883.77,2/6/10,2009-02-03,2009-05-31
CN,1837,SGS-UKL1260807821.75,2/6/10,2008-09-12,2009-10-31
CN,868,TUEV-SUED1258721838.66,2/6/10,2009-01-07,2009-10-31
CN,1743,CEC1256806196.28,28/5/10,2008-07-08,2009-10-15
MX,161,DNV-CUK1241985043.89,28/5/10,2008-01-08,2009-03-31
MX,225,DNV-CUK1246606968.21,28/5/10,2008-01-08,2009-05-31
IN,284,DNV-CUK1258376347.71,28/5/10,2009-01-03,2009-09-30
CN,1480,SGS-UKL1248444994.43,28/5/10,2008-08-28,2009-06-27
KR,99,TUEV-SUED1263317424.99,28/5/10,2009-01-12,2009-12-31
CN,2167,BVQI1257141601.23,26/5/10,2009-02-25,2009-09-25
CN,2067,DNV-CUK1246947062.49,26/5/10,2008-12-29,2009-06-30
CN,2396,DNV-CUK1259766602.95,26/5/10,2009-05-23,2009-11-19
CN,1433,RWTUV1261392329.14,26/5/10,2009-06-25,2009-11-27
CN,1865,SGS-UKL1249286308.01,26/5/10,2009-01-25,2009-06-30
AR,807,TUEV-SUED1257431735.4,26/5/10,2009-01-07,2009-10-14
KR,99,TUEV-SUED1264525139.92,26/5/10,2010-01-01,2010-01-24
GT,1509,SGS-UKL1233826855.94,25/5/10,2008-06-04,2008-12-31
MX,393,TUEV-SUED1192017115.94,25/5/10,2006-01-12,2007-09-30
ID,450,TUEV-SUED1201267210.1,25/5/10,2007-01-10,2007-12-31
KR,941,TUEV-SUED1208270995.94,25/5/10,2007-04-30,2007-11-30
BR,809,RWTUV1229331529.88,21/5/10,2007-07-31,2008-11-30
CN,316,SGS-UKL1260442960.77,21/5/10,2008-01-10,2009-09-30
CN,1416,SGS-UKL1260893866.76,21/5/10,2009-05-28,2009-11-26
CN,1875,SGS-UKL1261588034.95,21/5/10,2008-10-27,2009-11-30
CN,1177,TUEV-SUED1217325196.04,21/5/10,2007-12-19,2008-06-27
BR,116,TUEV-SUED1264001142.02,21/5/10,2009-11-19,2010-01-14
MX,120,DNV-CUK1241985452.42,19/5/10,2008-01-04,2009-03-31
IN,1130,DNV-CUK1251200214.05,19/5/10,2008-01-07,2009-06-30
CN,1984,DNV-CUK1259563112.67,19/5/10,2009-06-03,2009-10-25
CN,1074,SGS-UKL1209372673.68,19/5/10,2007-04-10,2008-03-25
IN,309,SGS-UKL1210165716.01,19/5/10,2007-02-04,2008-01-04
IN,578,SGS-UKL1210591738.13,19/5/10,2007-01-04,2008-03-31
CN,1946,SGS-UKL1260367806.38,19/5/10,2008-11-16,2009-10-31
MX,785,TUEV-SUED1242376481.29,19/5/10,2007-01-10,2009-03-31
IN,376,TUEV-SUED1253546262.34,19/5/10,2008-01-09,2009-08-31
LA,930,DNV-CUK1207207708.23,14/5/10,2007-07-04,2008-03-31
MX,240,DNV-CUK1244843029.14,14/5/10,2008-01-04,2009-04-30
MX,413,DNV-CUK1246607625.5,14/5/10,2008-01-08,2009-05-31
CN,491,DNV-CUK1259932059.59,14/5/10,2009-01-05,2009-11-30
CL,1229,TUEV-SUED1259074860.13,14/5/10,2009-01-07,2009-09-30
CN,2204,CEC1257413223.12,12/5/10,2009-06-03,2009-09-30
MX,105,DNV-CUK1241985262.25,12/5/10,2008-01-04,2009-03-31
IN,532,SGS-UKL1210238390.73,12/5/10,2006-08-12,2008-03-31
CN,232,SGS-UKL1252425218.23,12/5/10,2009-01-07,2009-08-31
MX,1150,TUEV-SUED1249298885.35,12/5/10,2008-12-26,2009-06-30
CN,1817,TUEV-SUED1255792551.55,12/5/10,2009-01-06,2009-09-30
CN,1555,TUEV-SUED1259682594.84,12/5/10,2008-11-21,2009-11-25
IN,374,DNV-CUK1251089421.69,6/5/10,2008-07-22,2009-07-21
IN,243,DNV-CUK1259594764.94,6/5/10,2007-02-10,2009-01-11
BR,831,RWTUV1223624716.24,6/5/10,2007-02-04,2008-09-30
IN,560,SGS-UKL1233238009.57,6/5/10,2006-01-10,2008-12-31
CN,1243,SGS-UKL1240216214.71,6/5/10,2008-07-21,2008-12-31
IN,1339,SGS-UKL1244130414.95,6/5/10,2008-02-04,2009-07-02
CN,1416,SGS-UKL1245919773.78,6/5/10,2008-12-28,2009-05-27
CN,1284,SGS-UKL1262963567.7,6/5/10,2009-01-08,2009-12-31
CN,2439,BVQI1257850439.74,5/5/10,2009-11-09,2009-10-31
IN,613,DNV-CUK1257936698.7,5/5/10,2008-01-11,2009-10-31
CL,2028,Germanischer1255507494.48,5/5/10,2009-01-30,2009-09-30
CN,1388,JQA1257843826.04,5/5/10,2008-03-20,2009-10-31
IN,127,SGS-UKL1249383135.64,5/5/10,2008-07-28,2009-07-27
CN,767,SGS-UKL1250160962.39,5/5/10,2009-01-05,2009-07-25
CN,2109,BVQI1255502816.09,29/4/10,2009-04-29,2009-08-29
CN,2027,BVQI1255933916.63,29/4/10,2008-11-23,2009-08-31
CN,1311,BVQI1257837523.2,29/4/10,2008-01-10,2009-07-31
CN,1432,RWTUV1259139977.35,29/4/10,2009-08-26,2009-10-25
CN,1105,SGS-UKL1260290214.53,29/4/10,2009-01-07,2009-11-30
CN,1560,CEC1259930709.57,28/4/10,2008-11-20,2009-11-19
CN,1997,China Quality1259117042.58,28/4/10,2009-03-24,2009-10-31
CN,1368,ERM-CVS1256325970.9,28/4/10,2008-07-20,2008-12-31
CN,2153,SGS-UKL1249465260.38,28/4/10,2009-12-05,2009-06-30
CN,1431,TUEV-SUED1231923312.87,28/4/10,2008-12-06,2008-12-31
CN,1533,TUEV-SUED1242295399.98,28/4/10,2008-03-21,2009-03-25
CO,1428,ICONTEC1245206576.63,27/4/10,2008-02-14,2009-03-24
CN,1487,BVQI1248343893.2,26/4/10,2008-05-07,2009-06-30
CN,1515,CEC1257604948.39,23/4/10,2008-06-18,2009-09-25
IN,391,DNV-CUK1247816844.73,23/4/10,2007-01-04,2009-03-31
IN,1352,RWTUV1244727856.32,23/4/10,2008-01-05,2008-10-31
CN,11,SGS-UKL1252310316.06,23/4/10,2009-01-06,2009-08-31
CN,1785,TUEV-SUED1251882637.78,23/4/10,2008-08-24,2009-08-20
MA,30,AENOR1206361132.79,22/4/10,2007-01-01,2007-08-31
CN,1627,BVQI1235148650.63,22/4/10,2008-12-16,2009-11-29
CN,1455,DNV-CUK1215157397.33,22/4/10,2008-03-20,2008-09-05
IN,936,DNV-CUK1247460406.2,22/4/10,2008-11-29,2009-06-16
CN,1900,LRQA Ltd1258018670.93,22/4/10,2009-06-27,2009-10-26
CN,1629,SGS-UKL1245056029.57,22/4/10,2008-05-30,2009-05-31
HN,1483,TUEV-SUED1237199202.69,22/4/10,2008-08-03,2008-12-31
MX,463,DNV-CUK1193033295.03,20/4/10,2007-05-05,2007-09-30
CN,1955,DNV-CUK1256985239.47,15/4/10,2009-10-03,2009-10-27
CN,1226,ERM-CVS1256680653.27,15/4/10,2009-06-26,2009-10-25
ZA,961,TUEV-SUED1233576489.93,15/4/10,2007-02-10,2008-09-08
CN,1484,CEC1257412622.44,14/4/10,2008-01-11,2009-09-30
CN,1223,ERM-CVS1257960271.67,14/4/10,2009-06-26,2009-10-25
BR,164,TUEV-SUED1255955380.28,14/4/10,2009-01-07,2009-09-30
CN,2206,BVQI1256214774.93,9/4/10,2009-02-18,2009-09-25
BR,530,RWTUV1232106837.71,9/4/10,2008-01-01,2008-12-31
CN,256,TUEV-SUED1206955720.17,9/4/10,2007-01-01,2007-11-24
CN,2178,CEC1257413464.53,8/4/10,2009-01-28,2009-09-30
HN,45,DNV-CUK1251451162.27,8/4/10,2008-01-09,2009-07-31
CN,2149,RWTUV1251977180.16,8/4/10,2009-07-02,2009-06-08
MX,162,DNV-CUK1238399219.59,7/4/10,2008-01-08,2009-02-28
BR,337,DNV-CUK1255068198.9,7/4/10,2009-01-03,2009-08-31
JO,1758,DNV-CUK1257521156.92,7/4/10,2009-01-02,2009-10-31
CN,1511,DNV-CUK1258025354.87,7/4/10,2008-06-30,2009-10-25
CN,1873,SGS-UKL1245232619.15,7/4/10,2008-10-26,2009-05-31
MX,464,DNV-CUK1193149324.34,6/4/10,2006-09-17,2007-09-30
BR,364,DNV-CUK1254991247.77,6/4/10,2009-01-03,2009-08-31
CN,550,SGS-UKL1250161725.92,6/4/10,2009-01-05,2009-07-31
CN,1989,CEC1258099277.63,1/4/10,2009-10-02,2009-10-21
IN,686,DNV-CUK1245221509.6,1/4/10,2008-01-01,2008-12-31
CN,2376,ERM-CVS1252750447.21,1/4/10,2009-05-25,2009-08-25
IN,355,SGS-UKL1232021759.27,1/4/10,2002-01-03,2008-03-31
CN,1304,BVQI1259394935.83,31/3/10,2008-01-05,2008-12-31
CN,1455,DNV-CUK1242193543.11,31/3/10,2008-10-05,2009-11-04
CN,2215,JQA1250728245.79,31/3/10,2009-03-16,2009-07-31
CN,1083,SGS-UKL1210242247.33,31/3/10,2008-01-04,2008-04-30
CN,1083,SGS-UKL1215158396.12,31/3/10,2008-01-05,2008-06-30
IN,390,DNV-CUK1246943334.84,26/3/10,2007-01-04,2009-03-31
CN,1809,DNV-CUK1254907157.24,26/3/10,2008-08-29,2009-08-31
CN,126,DNV-CUK1256885744.8,26/3/10,2009-01-02,2009-09-30
CN,378,JACO1239942358.46,26/3/10,2008-01-01,2008-12-31
CN,539,SGS-UKL1251456428.12,26/3/10,2008-08-27,2009-07-26
KR,1443,DNV-CUK1235545603.9,25/3/10,2008-05-16,2009-07-01
IN,367,DNV-CUK1247217039.55,25/3/10,2007-01-04,2009-03-31
GT,2022,ERM-CVS1245728023.36,25/3/10,2008-12-12,2009-04-30
MX,1307,TUEV-RHEIN1244073142.5,24/3/10,2008-02-25,2009-04-30
MX,428,DNV-CUK1191707220.0,23/3/10,2006-09-17,2007-09-30
BR,336,DNV-CUK1254991812.73,23/3/10,2009-01-03,2009-08-31
TZ,908,TUEV-SUED1236186459.69,23/3/10,2007-01-07,2008-12-31
IN,1002,TUEV-SUED1236612899.27,23/3/10,2008-01-01,2008-12-31
IN,814,DNV-CUK1244178202.71,19/3/10,2007-05-02,2009-03-31
CN,841,SGS-UKL1239262030.83,19/3/10,2008-01-22,2009-01-25
KR,99,TUEV-SUED1260374121.59,19/3/10,2009-10-15,2009-11-30
CN,1344,BVQI1249468149.95,15/3/10,2008-03-26,2008-12-31
CN,1675,DNV-CUK1246514216.4,15/3/10,2009-02-13,2009-06-15
IN,325,DNV-CUK1248946881.22,15/3/10,2008-01-11,2009-06-30
BR,365,DNV-CUK1250460071.41,15/3/10,2008-01-03,2009-06-30
BR,422,DNV-CUK1250460418.82,15/3/10,2008-01-08,2009-06-30
BR,968,DNV-CUK1257781292.86,15/3/10,2008-01-02,2009-09-30
CR,1314,RWTUV1255611128.97,15/3/10,2008-01-12,2009-09-30
IN,804,TUEV-SUED1191329290.37,15/3/10,2007-03-17,2007-04-30
BR,1011,TUEV-SUED1246463285.1,15/3/10,2008-09-15,2009-11-05
IN,315,BVQI1184246303.77,11/3/10,2006-01-04,2007-03-31
CN,1425,RWTUV1253262576.95,11/3/10,2008-01-11,2009-08-31
NI,2315,RWTUV1256191194.4,11/3/10,2009-12-04,2009-09-30
CN,1390,BVQI1254207220.38,10/3/10,2008-08-25,2009-08-24
CN,2039,BVQI1255502325.31,10/3/10,2009-07-05,2009-09-25
IN,1053,DNV-CUK1251264399.81,10/3/10,2008-07-17,2009-07-16
CN,1391,SGS-UKL1252313619.91,10/3/10,2008-08-21,2009-08-20
