CDM project reference number,HostParty,Issuance process ID,Issuance date,Status,Total,Vintage Year
1226,CN,ERM-CVS1256680653.27,15/4/10,Held," 55,891 ",2009
961,ZA,TUEV-SUED1233576489.93,15/4/10,Held," 543,502 ",2007
1484,CN,CEC1257412622.44,14/4/10,Held," 84,026 ",2008
1223,CN,ERM-CVS1257960271.67,14/4/10,Held," 70,591 ",2009
164,BR,TUEV-SUED1255955380.28,14/4/10,Held," 89,303 ",2009
2206,CN,BVQI1256214774.93,9/4/10,Held," 445,674 ",2009
530,BR,RWTUV1232106837.71,9/4/10,Held," 167,151 ",2008
256,CN,TUEV-SUED1206955720.17,9/4/10,Held," 38,389 ",2007
2178,CN,CEC1257413464.53,8/4/10,Held," 35,421 ",2009
45,HN,DNV-CUK1251451162.27,8/4/10,Held," 38,098 ",2008
2149,CN,RWTUV1251977180.16,8/4/10,Held," 56,323 ",2009
162,MX,DNV-CUK1238399219.59,7/4/10,Held," 30,164 ",2008
337,BR,DNV-CUK1255068198.9,7/4/10,Held," 40,455 ",2009
1758,JO,DNV-CUK1257521156.92,7/4/10,Held," 585,060 ",2009
1511,CN,DNV-CUK1258025354.87,7/4/10,Held," 56,944 ",2008
1873,CN,SGS-UKL1245232619.15,7/4/10,Held," 77,825 ",2008
464,MX,DNV-CUK1193149324.34,6/4/10,Held," 7,852 ",2006
364,BR,DNV-CUK1254991247.77,6/4/10,Held," 33,822 ",2009
550,CN,SGS-UKL1250161725.92,6/4/10,Held," 1,455,306 ",2009
1989,CN,CEC1258099277.63,1/4/10,Held," 159,153 ",2009
686,IN,DNV-CUK1245221509.6,1/4/10,Held," 1,996 ",2008
2376,CN,ERM-CVS1252750447.21,1/4/10,Held," 32,122 ",2009
355,IN,SGS-UKL1232021759.27,1/4/10,Held," 152,276 ",2002
1304,CN,BVQI1259394935.83,31/3/10,Held," 289,803 ",2008
1455,CN,DNV-CUK1242193543.11,31/3/10,Held," 263,171 ",2008
2215,CN,JQA1250728245.79,31/3/10,Held," 20,022 ",2009
1083,CN,SGS-UKL1210242247.33,31/3/10,Held," 452,903 ",2008
1083,CN,SGS-UKL1215158396.12,31/3/10,Held," 870,156 ",2008
390,IN,DNV-CUK1246943334.84,26/3/10,Held," 58,357 ",2007
1809,CN,DNV-CUK1254907157.24,26/3/10,Held," 42,975 ",2008
126,CN,DNV-CUK1256885744.8,26/3/10,Held," 25,869 ",2009
378,CN,JACO1239942358.46,26/3/10,Held," 374,039 ",2008
539,CN,SGS-UKL1251456428.12,26/3/10,Held," 39,852 ",2008
1443,KR,DNV-CUK1235545603.9,25/3/10,Held," 80,303 ",2008
367,IN,DNV-CUK1247217039.55,25/3/10,Held," 55,305 ",2007
2022,GT,ERM-CVS1245728023.36,25/3/10,Held," 29,940 ",2008
1307,MX,TUEV-RHEIN1244073142.5,24/3/10,Held," 36,567 ",2008
428,MX,DNV-CUK1191707220.0,23/3/10,Held," 17,929 ",2006
336,BR,DNV-CUK1254991812.73,23/3/10,Held," 35,120 ",2009
908,TZ,TUEV-SUED1236186459.69,23/3/10,Held," 13,587 ",2007
1002,IN,TUEV-SUED1236612899.27,23/3/10,Held," 151,932 ",2008
814,IN,DNV-CUK1244178202.71,19/3/10,Held," 10,722 ",2007
841,CN,SGS-UKL1239262030.83,19/3/10,Held," 60,773 ",2008
99,KR,TUEV-SUED1260374121.59,19/3/10,Held," 1,812,529 ",2009
1344,CN,BVQI1249468149.95,15/3/10,Held," 86,329 ",2008
1675,CN,DNV-CUK1246514216.4,15/3/10,Held," 99,455 ",2009
325,IN,DNV-CUK1248946881.22,15/3/10,Held," 504,214 ",2008
365,BR,DNV-CUK1250460071.41,15/3/10,Held," 16,939 ",2008
422,BR,DNV-CUK1250460418.82,15/3/10,Held," 32,393 ",2008
968,BR,DNV-CUK1257781292.86,15/3/10,Held," 141,102 ",2008
1314,CR,RWTUV1255611128.97,15/3/10,Held," 24,561 ",2008
804,IN,TUEV-SUED1191329290.37,15/3/10,Held," 10,177 ",2007
1011,BR,TUEV-SUED1246463285.1,15/3/10,Held," 55,045 ",2008
315,IN,BVQI1184246303.77,11/3/10,Held," 272,085 ",2006
1425,CN,RWTUV1253262576.95,11/3/10,Held," 20,788 ",2008
2315,NI,RWTUV1256191194.4,11/3/10,Held," 42,871 ",2009
1390,CN,BVQI1254207220.38,10/3/10,Held," 65,209 ",2008
2039,CN,BVQI1255502325.31,10/3/10,Held," 25,558 ",2009
1053,IN,DNV-CUK1251264399.81,10/3/10,Held," 11,321 ",2008
1391,CN,SGS-UKL1252313619.91,10/3/10,Held," 31,548 ",2008
425,MX,TUEV-SUED1221226515.75,10/3/10,Held," 65,230 ",2007
116,BR,TUEV-SUED1259076228.47,10/3/10,Held," 738,628 ",2009
1227,CN,BVQI1250600663.23,8/3/10,Held," 115,077 ",2007
1136,CN,BVQI1256706131.68,8/3/10,Held," 43,620 ",2008
490,EG,DNV-CUK1255699859.73,8/3/10,Held," 409,443 ",2009
369,IN,SGS-UKL1222266692.69,8/3/10,Held," 26,708 ",2007
1488,CN,TUEV-SUED1222267430.98,8/3/10,Held," 48,117 ",2008
1229,CL,TUEV-SUED1248189102.8,8/3/10,Held," 204,630 ",2009
1766,CN,TUEV-SUED1252590831.75,8/3/10,Held," 31,853 ",2008
141,EC,AENOR1239792659.92,4/3/10,Held," 196,431 ",2008
2013,CN,BVQI1250073433.28,4/3/10,Held," 85,444 ",2008
969,CN,BVQI1254211100.92,4/3/10,Held," 61,274 ",2008
3,KR,DNV-CUK1248243698.57,4/3/10,Held," 306,411 ",2009
989,CN,DNV-CUK1249465394.67,4/3/10,Held," 72,600 ",2008
426,AR,DNV-CUK1253604530.99,4/3/10,Held," 398,811 ",2009
888,BR,DNV-CUK1253605346.15,4/3/10,Held," 83,077 ",2009
668,BR,SGS-UKL1242743977.52,4/3/10,Held," 25,974 ",2008
499,IN,SGS-UKL1248098446.22,4/3/10,Held," 96,704 ",2009
1238,CN,SGS-UKL1233935784.84,1/3/10,Held," 2,244,051 ",2008
1499,CN,BVQI1255579748.93,26/2/10,Held," 50,989 ",2008
480,BR,BVQI1255728714.73,26/2/10,Held," 15,919 ",2008
1231,CN,DNV-CUK1251702864.54,26/2/10,Held," 41,406 ",2008
1238,CN,SGS-UKL1248257972.07,26/2/10,Held," 1,495,178 ",2009
2009,CN,BVQI1255923001.85,25/2/10,Held," 174,894 ",2009
765,KR,DNV-CUK1255350215.47,25/2/10,Held," 418,323 ",2009
1947,CN,RWTUV1255002693.55,25/2/10,Held," 2,977,976 ",2009
845,CN,TUEV-SUED1246372705.32,25/2/10,Held," 119,945 ",2008
580,EC,AENOR1253175159.19,24/2/10,Held," 62,068 ",2008
829,CN,BVQI1254210598.15,24/2/10,Held," 36,386 ",2008
