PA/PoA,CDM project reference number,HostParty,DOE,Project type (UNEP DTU),Project subtype (UNEP DTU),Issuance process ID,Issuance date,Monitoring report started,Monitoring report ended, Units - Total ,CP,Monitoring report number,Last_updated
PA,1300,IN,LGAI,Fossil fuel switch,New natural gas plant,Applus1650285993.12,30/3/23,1/1/13,25/2/18," 27,499 ",2,4,21Jun2023
PA,1300,IN,LGAI,Fossil fuel switch,New natural gas plant,Applus1650285993.12,30/3/23,1/11/11,31/12/12," 90,895 ",1,4,21Jun2023
PA,7589,IN,LGAI,Wind,Wind,Applus1651315448.81,30/3/23,1/9/15,31/12/20," 14,471 ",2,2,21Jun2023
PA,536,CN,LGAI,Wind,Wind,Applus1665509416.66,30/3/23,28/9/15,31/12/19," 224,633 ",2,9,21Jun2023
PA,1244,CN,LGAI,Wind,Wind,Applus1666030083.88,30/3/23,1/2/17,31/12/19," 125,363 ",2,9,21Jun2023
PA,1570,AR,Earthood,Methane avoidance,Waste water,ESPL1643110636.5,30/3/23,1/6/14,24/4/15," 50,567 ",2,6,21Jun2023
PA,1570,AR,Earthood,Methane avoidance,Waste water,ESPL1643113550.97,30/3/23,8/4/16,31/12/20," 162,045 ",2,7,21Jun2023
PA,9165,KR,KSA,Wind,Wind,Korean Standards Association1667958678.4,30/3/23,1/1/13,31/12/20," 209,664 ",2,1,21Jun2023
PA,9165,KR,KSA,Wind,Wind,Korean Standards Association1667958678.4,30/3/23,26/12/12,31/12/12, 586 ,1,1,21Jun2023
PA,7441,IN,RINA,Wind,Wind,RINA1661939197.22,30/3/23,1/1/13,31/12/19," 101,625 ",2,1,21Jun2023
PA,373,BR,KBS,Landfill gas,Landfill power,KBS_Cert1646290674.89,28/3/23,16/5/12,31/12/12," 86,659 ",1,19,21Jun2023
PA,373,BR,KBS,Landfill gas,Landfill power,KBS_Cert1646290674.89,28/3/23,1/1/13,21/5/14," 180,713 ",2,19,21Jun2023
PA,10168,IN,LGAI,Wind,Wind,Applus1614342350.23,23/3/23,1/1/16,31/12/20," 15,068 ",2,1,21Jun2023
PA,7901,IN,LGAI,Wind,Wind,Applus1645785776.44,23/3/23,1/11/12,31/12/12," 5,216 ",1,1,21Jun2023
PA,7901,IN,LGAI,Wind,Wind,Applus1645785776.44,23/3/23,1/1/13,31/10/19," 1,204,274 ",2,1,21Jun2023
PA,4251,IN,LGAI,Wind,Wind,Applus1649354129.25,23/3/23,1/5/11,31/12/12," 16,576 ",1,1,21Jun2023
